	syllabic	diphthong	mainstress	stress	consonantal	sonorant	continuant	nasal	voice	LABIAL	round	CORONAL	anterior	strident	lateral	DORSAL	high	low	back	tense	rhotic	rhyme
ER2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	+	+	0
IH2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	-	0	0
UH2	+	-	0	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	-	0	0
AW2	+	+	0	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	+	0	0
AY2	+	+	0	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	+	0	0
EY2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	-	+	0	0
IY2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	+	0	0
OW2	+	-	0	+	-	+	0	0	0	0	+	0	0	0	0	0	-	-	+	+	0	0
OY2	+	+	0	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	-	+	0	0
UW2	+	-	0	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	+	0	0
AH1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	-	-	0
AO1	+	-	+	+	-	+	0	0	0	0	+	0	0	0	0	0	-	+	+	+	0	0
EH1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	-	-	0	0
ER1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	+	+	0
EY1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	-	+	0	0
OW1	+	-	+	+	-	+	0	0	0	0	+	0	0	0	0	0	-	-	+	+	0	0
AA1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	+	+	+	0	0
AE1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	-	+	-	-	0	0
IH1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	-	0	0
UH1	+	-	+	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	-	0	0
AW1	+	+	+	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	+	0	0
AY1	+	+	+	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	+	0	0
IY1	+	-	+	+	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	+	0	0
OY1	+	+	+	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	-	+	0	0
UW1	+	-	+	+	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	+	0	0
